Name,Rank,Year,Surface,Aces,FirstServe,SecondServePointsWon,BreakPointsSaved,FirstServeReturnPointsWon,SecondServeReturnPointsWon,BreakPointsConverted,Titles
Rafael Nadal,1,0,All,2228,69,57,66,34,55,45,60
Rafael Nadal,1,0,Clay,579,71,56,67,40,58,49,42
Rafael Nadal,1,0,Grass,377,69,59,66,27,53,40,3
Rafael Nadal,1,0,Hard,1266,67,58,66,32,54,42,15
Rafael Nadal,1,2013,All,197,70,57,70,35,55,46,10
Rafael Nadal,1,2013,Clay,94,71,56,69,38,54,48,6
Rafael Nadal,1,2013,Grass,6,67,54,73,26,43,29,0
Rafael Nadal,1,2013,Hard,97,68,59,71,32,56,44,4
Rafael Nadal,1,2012,All,160,67,57,71,38,55,49,4
Rafael Nadal,1,2012,Clay,64,65,58,73,42,59,52,4
Rafael Nadal,1,2012,Grass,30,66,59,52,26,51,54,0
Rafael Nadal,1,2012,Hard,66,70,55,71,36,52,45,0
Rafael Nadal,1,2011,All,267,68,57,64,34,57,46,3
Rafael Nadal,1,2011,Clay,57,70,57,66,39,61,49,3
Rafael Nadal,1,2011,Grass,68,69,59,62,28,56,46,0
Rafael Nadal,1,2011,Hard,142,65,56,63,34,54,45,0
Rafael Nadal,1,2010,All,310,67,60,69,31,55,44,7
Rafael Nadal,1,2010,Clay,41,73,58,77,38,60,49,4
Rafael Nadal,1,2010,Grass,65,69,62,56,25,56,45,1
Rafael Nadal,1,2010,Hard,204,64,59,68,29,53,40,2
Rafael Nadal,1,2009,All,219,68,57,65,33,57,47,5
Rafael Nadal,1,2009,Clay,38,70,57,64,38,58,54,3
Rafael Nadal,1,2009,Grass,0,0,0,0,0,0,0,0
Rafael Nadal,1,2009,Hard,181,67,57,65,32,56,44,2
Rafael Nadal,1,2008,All,283,69,60,67,34,55,45,8
Rafael Nadal,1,2008,Clay,34,72,58,65,45,60,52,4
Rafael Nadal,1,2008,Grass,72,70,62,79,28,54,38,2
Rafael Nadal,1,2008,Hard,177,68,60,67,32,54,42,2
Rafael Nadal,1,2007,All,238,68,56,67,35,54,44,6
Rafael Nadal,1,2007,Clay,61,71,57,70,41,59,48,5
Rafael Nadal,1,2007,Grass,45,68,59,66,30,51,44,0
Rafael Nadal,1,2007,Hard,132,66,55,65,31,52,41,1
Rafael Nadal,1,2006,All,240,69,57,68,32,54,43,5
Rafael Nadal,1,2006,Clay,45,73,58,66,39,56,45,4
Rafael Nadal,1,2006,Grass,64,71,55,71,27,52,35,0
Rafael Nadal,1,2006,Hard,131,65,58,67,29,53,42,1
Rafael Nadal,1,2005,All,219,69,57,64,37,57,46,11
Rafael Nadal,1,2005,Clay,102,70,56,67,42,59,50,8
Rafael Nadal,1,2005,Grass,20,68,56,64,23,51,24,0
Rafael Nadal,1,2005,Hard,97,68,58,60,32,55,41,3
Rafael Nadal,1,2004,All,57,70,54,61,33,53,43,1
Rafael Nadal,1,2004,Clay,20,72,51,54,35,61,48,1
Rafael Nadal,1,2004,Grass,0,0,0,0,0,0,0,0
Rafael Nadal,1,2004,Hard,33,69,56,65,33,51,40,0
Rafael Nadal,1,2003,All,37,73,56,64,33,56,41,0
Rafael Nadal,1,2003,Clay,22,73,52,66,31,53,47,0
Rafael Nadal,1,2003,Grass,7,72,50,67,26,60,34,0
Rafael Nadal,1,2003,Hard,6,69,81,64,55,75,31,0
Rafael Nadal,1,2002,All,1,86,29,61,39,47,71,0
Rafael Nadal,1,2002,Clay,1,86,29,61,39,47,71,0
Rafael Nadal,1,2002,Grass,0,0,0,0,0,0,0,0
Rafael Nadal,1,2002,Hard,0,0,0,0,0,0,0,0
Novak Djokovic,2,0,All,3486,64,55,65,33,54,45,39
Novak Djokovic,2,0,Clay,566,65,53,62,37,55,45,8
Novak Djokovic,2,0,Grass,620,66,55,65,31,52,41,1
Novak Djokovic,2,0,Hard,2231,64,55,67,33,55,45,30
Novak Djokovic,2,2013,All,415,66,59,64,35,55,43,5
Novak Djokovic,2,2013,Clay,62,68,58,59,36,54,45,1
Novak Djokovic,2,2013,Grass,80,65,57,64,35,51,30,0
Novak Djokovic,2,2013,Hard,273,66,60,67,36,57,45,4
Novak Djokovic,2,2012,All,512,64,56,66,35,56,46,6
Novak Djokovic,2,2012,Clay,84,65,55,55,37,53,43,0
Novak Djokovic,2,2012,Grass,111,68,57,76,34,51,45,0
Novak Djokovic,2,2012,Hard,317,63,57,69,35,58,48,6
Novak Djokovic,2,2011,All,343,65,56,65,36,58,48,10
Novak Djokovic,2,2011,Clay,62,66,59,72,36,58,46,3
Novak Djokovic,2,2011,Grass,61,68,59,61,33,55,47,1
Novak Djokovic,2,2011,Hard,220,65,54,63,36,58,49,6
Novak Djokovic,2,2010,All,304,64,52,67,34,54,45,2
Novak Djokovic,2,2010,Clay,32,64,47,68,38,55,51,0
Novak Djokovic,2,2010,Grass,66,65,55,65,29,55,41,0
Novak Djokovic,2,2010,Hard,206,64,53,67,34,54,43,2
Novak Djokovic,2,2009,All,502,63,54,66,33,54,42,5
Novak Djokovic,2,2009,Clay,71,62,51,59,38,57,41,1
Novak Djokovic,2,2009,Grass,101,63,55,68,32,52,42,0
Novak Djokovic,2,2009,Hard,330,63,54,68,32,54,42,4
Novak Djokovic,2,2008,All,493,65,57,67,32,53,47,4
Novak Djokovic,2,2008,Clay,68,66,57,68,38,55,49,1
Novak Djokovic,2,2008,Grass,57,70,49,67,31,56,47,0
Novak Djokovic,2,2008,Hard,368,64,57,67,31,52,46,3
Novak Djokovic,2,2007,All,518,64,54,65,32,53,43,5
Novak Djokovic,2,2007,Clay,88,64,50,62,35,53,44,1
Novak Djokovic,2,2007,Grass,85,68,54,60,27,51,33,0
Novak Djokovic,2,2007,Hard,345,63,55,68,32,53,44,4
Novak Djokovic,2,2006,All,285,63,53,63,30,51,45,2
Novak Djokovic,2,2006,Clay,75,66,55,59,35,54,46,1
Novak Djokovic,2,2006,Grass,43,62,51,61,27,47,54,0
Novak Djokovic,2,2006,Hard,132,62,52,65,28,49,44,1
Novak Djokovic,2,2005,All,88,63,48,59,28,51,40,0
Novak Djokovic,2,2005,Clay,13,61,45,60,37,57,48,0
Novak Djokovic,2,2005,Grass,16,66,50,57,28,49,35,0
Novak Djokovic,2,2005,Hard,25,64,47,49,21,49,42,0
Novak Djokovic,2,2004,All,26,62,44,49,38,46,35,0
Novak Djokovic,2,2004,Clay,11,64,42,38,41,47,31,0
Novak Djokovic,2,2004,Grass,0,0,0,0,0,0,0,0
Novak Djokovic,2,2004,Hard,15,59,46,67,32,42,57,0
David Ferrer,3,0,All,2208,63,52,60,34,55,44,20
David Ferrer,3,0,Clay,660,64,52,59,37,56,47,10
David Ferrer,3,0,Grass,303,67,55,62,29,56,41,2
David Ferrer,3,0,Hard,1177,63,53,60,32,54,42,8
David Ferrer,3,2013,All,230,63,53,57,35,56,41,2
David Ferrer,3,2013,Clay,54,61,53,56,38,59,43,1
David Ferrer,3,2013,Grass,39,67,53,59,30,52,33,0
David Ferrer,3,2013,Hard,137,63,53,57,34,56,41,1
David Ferrer,3,2012,All,279,63,57,65,34,54,44,7
David Ferrer,3,2012,Clay,87,65,54,71,37,54,43,3
David Ferrer,3,2012,Grass,52,68,64,67,29,56,44,1
David Ferrer,3,2012,Hard,140,61,56,61,33,54,45,3
David Ferrer,3,2011,All,265,61,55,65,33,56,46,2
David Ferrer,3,2011,Clay,67,61,54,69,36,57,51,1
David Ferrer,3,2011,Grass,20,66,55,63,27,58,39,0
David Ferrer,3,2011,Hard,178,60,56,63,32,55,43,1
David Ferrer,3,2010,All,245,65,55,65,33,54,44,2
David Ferrer,3,2010,Clay,58,67,57,66,36,56,47,1
David Ferrer,3,2010,Grass,61,64,52,65,25,58,47,0
David Ferrer,3,2010,Hard,126,64,54,64,32,53,41,1
David Ferrer,3,2009,All,192,61,52,60,32,55,43,0
David Ferrer,3,2009,Clay,48,62,52,58,35,54,49,0
David Ferrer,3,2009,Grass,34,64,51,57,33,58,47,0
David Ferrer,3,2009,Hard,110,60,52,62,30,56,39,0
David Ferrer,3,2008,All,168,66,53,59,33,54,43,2
David Ferrer,3,2008,Clay,39,66,52,59,36,55,48,1
David Ferrer,3,2008,Grass,35,70,59,76,26,55,39,1
David Ferrer,3,2008,Hard,94,64,54,58,33,52,39,0
David Ferrer,3,2007,All,236,66,52,59,35,57,48,3
David Ferrer,3,2007,Clay,53,66,50,56,39,61,52,1
David Ferrer,3,2007,Grass,2,73,51,62,26,61,41,0
David Ferrer,3,2007,Hard,181,65,53,61,33,55,47,2
David Ferrer,3,2006,All,161,64,50,55,33,56,44,1
David Ferrer,3,2006,Clay,59,63,48,57,37,58,47,1
David Ferrer,3,2006,Grass,20,66,53,55,27,60,34,0
David Ferrer,3,2006,Hard,64,65,50,55,31,56,43,0
David Ferrer,3,2005,All,173,64,51,59,36,54,45,0
David Ferrer,3,2005,Clay,68,64,51,55,39,55,45,0
David Ferrer,3,2005,Grass,6,63,42,50,26,45,29,0
David Ferrer,3,2005,Hard,79,64,51,65,33,53,45,0
David Ferrer,3,2004,All,148,63,48,57,34,52,43,0
David Ferrer,3,2004,Clay,67,64,51,58,37,54,46,0
David Ferrer,3,2004,Grass,30,69,51,66,31,49,39,0
David Ferrer,3,2004,Hard,25,62,44,49,27,52,40,0
David Ferrer,3,2003,All,94,60,50,56,37,55,45,0
David Ferrer,3,2003,Clay,48,61,47,57,34,52,45,0
David Ferrer,3,2003,Grass,4,58,46,42,36,62,48,0
David Ferrer,3,2003,Hard,42,58,55,55,43,60,45,0
David Ferrer,3,2002,All,17,61,53,51,35,55,47,1
David Ferrer,3,2002,Clay,12,61,52,48,38,56,48,1
David Ferrer,3,2002,Grass,0,0,0,0,0,0,0,0
David Ferrer,3,2002,Hard,1,62,59,25,23,46,29,0
Andy Murray,4,0,All,3752,57,52,63,34,55,43,27
Andy Murray,4,0,Clay,396,58,48,62,37,54,43,0
Andy Murray,4,0,Grass,817,59,56,69,31,55,41,5
